Gender diversity,,,Career Development ,,,Career Advancement ,,,Work Enviroment,,,,Oppion,,,,Others,,
Lack gender diversity in general,G_L_D,,Reward inbalance in gender,CD_RI_F,,Positive of Career Advancement,CA_P,,Company denis on the problem,WE_DE_Prm,,,Do not think gender diverisity is the problem,N_GD_Prm,,,Department ,,add that 
Lack diversity in high status,G_L_D_H,,under pay,UP,,Lack career Advancement,CA_L,,high status lake culture diversity,WE_L_CD_L,,,emphasize the business process is more important,Emf_BP_Imp,,,Long-time_employeement,LTE,
Lack diversity in low status,G_L_D_Lw,,different culture background tread differently. ,CD_L_CD,,Positive of promotion,CA_PO_L,,Pass the buck,,,,emphasize the management is more important,Emf_M_Imp,,,Department ,,
Female Experience or wit sexual harassment,G_SH_Fe,,People is underestimate,CD_down.est,,equal promotion opportunit,CA_PO_E,,Lacking efficiency on business process or excution ,WE_L_Eff,,,emphasize the ability in the role is improtant,Emf_Abb_Imp,,,New employee,New,
Defined the manager or higher level have exiting discrimiation,G_Dis_Def,,"People leave because of ""perosnal reason""",CD_Lv_self,,Unequlity in promotion,CA_PO_U,,Man Atomosphere,WE_MA,,,not gender diveristy reason only,N_G_D_only,,,,,
Underestimate the women's value,G_UE_V,,Lack development opporutnity ,CD_L_DO,,do not have equail quality estimation bar for men and women ,CA_Q.est_U,,Process and system problem ,WE_PS_Prm,,,Should not promote or hire someone because of gender only,N_G_PO_only,,,,,
Fewer women is applying in the role,G_few_App_Fm,,Lacking instruction of the job and clear definiation of the task,CD_L_TD,,Male or female are feel ceiling0,CA_Ceil_,,Management problem,WE_MPrm,,,The company is improving or trying to improve while doing this survey ,Impv_,,,,,
Fewer role model for young women ,G_few_R_Fm,,,,,The company tend to hire outside employee to higher position rather than promote the staffs,CA_Hr_Out,,Lack intersectionality of ERGs (Employee resource Group),WE_L_IntSec,,,The company send efford on something,Effd_,,,,,
Female do not stay in high status long ,N_G_keep_H_Fm,,,,,,,,Work enviroment have less culture diveristy ,WE_L_CD,,,Talk more about gender diveristy but less plan or action to fix it,GD_Talk_more_fix_few,,,,,
Do not ware or understand the gender diversity is important,N_G_ware_D_Imp,,,,,,,,people think the culture in the company can be better or need to improve ,WE_L_Cul,,,,,,,,,
,,,,,,,,,Question about the promotion opportunity ,WE_Q_PO,,,,,,,,,
,,,,,,,,,Different status untrust other status ,WE_Tst.iss_status,,,,,,,,,
,,,,,,,,,"The higher status are subjective to the lower status that cause bias promotion, influence negatively to career path.",WE_bias_Inf_H,,,,,,,,,
,,,,,,,,,"White is dominated in the group, white atomosphere",CD_WM(WE_WA),,,,,,,,,
,,,,,,,,,The workplace has discrimation against races,WE_Dis_Cul,,,,,,,,,
,,,,,,,,,Some phenomenon have negative influence to people to work hard or feel upset ,WE_upset_,,,,,,,,,
,,,,,,,,,The company lack strategy,WE_L_ST,,,,,,,,,
